grid_id,population,floating,workplace,competitor_cnt,transport_cnt,score,rank,name
0009_0010,3207.5335164835165,0.0,945.5611721611721,0.0,2.0,1.0,1,0009_0010
0009_0003,5379.459627329193,0.0,2954.7194616977226,0.0,1.0,0.9215492344629195,2,0009_0003
0012_0004,1576.7571428571428,0.0,410.57142857142856,0.0,2.0,0.8495324088488503,3,0012_0004
0007_0005,2720.9491525423728,0.0,4022.9491525423728,0.0,1.0,0.7904587707515386,4,0007_0005
0006_0007,4081.4237288135596,0.0,6034.423728813559,0.0,0.0,0.6529415358958116,5,0006_0007
0009_0004,5913.248447204969,0.0,3166.4699792960664,0.0,0.0,0.6177924602603669,6,0009_0004
0009_0006,6490.6551724137935,0.0,2116.9540229885056,0.0,0.0,0.5981488288976264,7,0009_0006
0011_0004,5581.565217391304,0.0,2971.7608695652175,0.0,0.0,0.5821332646907491,8,0011_0004
0007_0007,1989.146697837522,0.0,1361.1122150789013,0.0,1.0,0.5804009802427349,9,0007_0007
0006_0005,3627.9322033898306,0.0,5363.932203389831,0.0,0.0,0.5803924763518326,10,0006_0005
0008_0004,4881.094009895779,0.0,3100.3062252166897,0.0,0.0,0.5385932110950888,11,0008_0004
0010_0007,1798.4480295566502,0.0,759.0492610837439,0.0,1.0,0.531052517677676,12,0010_0007
0008_0006,5722.827586206897,0.0,1771.6436781609195,0.0,0.0,0.5218050752920806,13,0008_0006
0009_0002,4887.922433035715,0.0,2763.5550595238096,0.0,0.0,0.5192714480092031,14,0009_0002
0011_0007,1051.1714285714286,0.0,273.7142857142857,0.0,1.0,0.4479668014033455,15,0011_0007
0005_0007,2720.9491525423728,0.0,4022.9491525423728,0.0,0.0,0.4352943572638744,16,0005_0007
0006_0006,2720.9491525423728,0.0,4022.9491525423728,0.0,0.0,0.4352943572638744,17,0006_0006
0008_0013,4913.526315789473,0.0,1053.4736842105262,0.0,0.0,0.420490263809691,18,0008_0013
0009_0005,4091.869565217391,0.0,1936.244927536232,0.0,0.0,0.41249963360994535,19,0009_0005
0008_0005,3879.983050847458,0.0,2196.7830508474576,0.0,0.0,0.412374912099879,20,0008_0005
