grid_id,population,floating,workplace,competitor_cnt,transport_cnt,score,rank,name
0009_0010,3207.5335164835165,0.0,945.5611721611721,0.0,2.0,1.0,1,0009_0010
0009_0003,5379.459627329193,0.0,2954.7194616977226,0.0,1.0,0.9215492344629195,2,0009_0003
0012_0004,1576.7571428571428,0.0,410.57142857142856,0.0,2.0,0.8495324088488503,3,0012_0004
0007_0005,2720.9491525423728,0.0,4022.9491525423728,0.0,1.0,0.7904587707515386,4,0007_0005
0006_0007,4081.4237288135596,0.0,6034.423728813559,0.0,0.0,0.6529415358958116,5,0006_0007
0009_0004,5913.248447204969,0.0,3166.4699792960664,0.0,0.0,0.6177924602603669,6,0009_0004
0009_0006,6490.6551724137935,0.0,2116.9540229885056,0.0,0.0,0.5981488288976264,7,0009_0006
0011_0004,5581.565217391304,0.0,2971.7608695652175,0.0,0.0,0.5821332646907491,8,0011_0004
0007_0007,1989.146697837522,0.0,1361.1122150789013,0.0,1.0,0.5804009802427349,9,0007_0007
0006_0005,3627.9322033898306,0.0,5363.932203389831,0.0,0.0,0.5803924763518326,10,0006_0005
0008_0004,4881.094009895779,0.0,3100.3062252166897,0.0,0.0,0.5385932110950888,11,0008_0004
